problem_id,code,error_id_1,Knowledge_id_2,error_class_id
p1,"#include<stdio.h>
int main(){
    int
    N,n,a=0,b=0,c=0,d=0,e=0,i;
    scanf(""%d"",&N);
    for(i=0;i<N;i++);
    {
        n>=90?a++:(n>=80&&n<90?b++):(n>=70&&n<80?c++):(n>=60&&n<70?d++):(n<60?e++);}
    
    printf(""%d %d %d %d %d"",a,b,c,d,e);
    return 0;
}",认知错误-,问号表达式,E0
p66,"#include<stdio.h>
int main()
{
    int a,b,w;
    double BMI;
    scanf(""%d%d"",&a,&b);
    BMI=a/b*b*1.0;
    if(BMI<24)
    w=a-24*b*b;
    printf(""Too fat!\n%d"",w);
    
    else if(BMI>=18&&BMI<=24)
    printf(""Good!\n%d"",w);
    else if(BMI<18)
    w=18*b*b-a;
    printf(""Too thin!\n%d"",w);
    
    return 0;
}",认知错误-,if-else语句,E1
p1967,"#include <stdio.h>
int main(){
    int a,b,c;
    scanf(""%d %d"", &a, &b);
    if(a%4=0&&a%100!=0){
        if(b%2!=10)
        printf(""%d"",c=31);
        else if(=2b)
        printf(""%d"",c=29);
        else
        printf(""%d"",c=30);
    }
    else{
        if(b%2!=0)
        printf(""%d"",c=31);
        else if(b=2)
        printf(""%d"",c=28);
        else
        printf(""%d"",c=30);
    }
    
    
    
    
    
    return 0;
}",认知错误-,if语句,E2
p4629,"#include<stdio.h>
int main()
{
    int n=1, m=0;
    scanf(""%d"",&n);
    int i;
    for(i=2;i<=n;i++){
        int a=1;
        for(int j=0;j=2;j<i;j++ ){
            if(i%j==0){
            a=0;
            break;
            }
        }
        if(a==1)
        {
            printf(""%d"",i);
            m++;
            if(m%5==0){
                printf(""\n"");
            }
        }
    }
    return 0;
}",认知错误-,for语句,E3
p5496,"#include<stdio.h>
int main(){
    int a,b,c,d,e,f,g,s;
    scanf(""%d"",&a);
    while(b=a/100000;c=a/10000%10;d=a/1000%100;e=a/100%1000;f=a/10%10000;g=a%100000){
        s=b+c+d+e+f+g;
    }
    printf(""%d"",s);
 
    return 0;
}",认知错误-,while语句,E4
p5738,"#include<stdio.h>
int main(){
    int 135;
        printf(""YES"");
    return 0;
}",变量声明错误-,变量定义,E5
p5884,"#include<stdio.h>
int main(){
    int n,m;
    int a=0,b=0,c=0,d=0,e=0,i=o;
    scanf(""%d"",&m);
    for(i=0,i<m,i++){
        scanf(""%d"",%n);
        if(n>=90){
            a++;
        }else if(n<90&&n>=80){
            b++;
        }else if(n<80&&n>=70){
            c++;
        }else if(n<70&&n>=60){
            d++;
        }else{
            e++;
        }
    }printf(""%d%d%d%d%d"",a,b,c,d,e);
    return 0;
    }
}",变量未声明-,无,E6
p7564,"#include<stdio.h>
#include<string.h>
int main(){
    char s[10001];
    scanf(""%s"",&s);
    int h=strlen(s);
    int a=0;
    long b=0;
    for(int i=0;i<=h;i++){
        if(s[i]>='0'&&s[i]<='9'){
            int x=s[i]-'0';
            a=a*10+x;
        }
        else{
            b=b+a;
            a=0
        }
    }
    printf(""%d"",b);
    return 0;
}",语句未以“;”结束-,无,E8
p8441,"#include<stdio.h>
int main()
{
    int x;
    int y=0;
    int z;
    int avg=0;
    avg=(x+y+z)/3.0;
    scanf(""%d %d %d"",&x,&y,&z);
    if(avg>=90){
        if(x>=90&&y>=90&&z>=90);
        printf(""beijing"");
        if(x>=90&&y>=90&&z<90);
        printf(""xiamen"");
        if(x>=90&&y<90&&z>=90);
        printf(""xiamen"");
        if(x<90&&y>=90&&z>=90);
        printf(""xiemen"");
        if(x>=90&&y<90&&z<90);
        printf(""guilin"");
        if(x<90&&y>=90&&z<90);
        printf(""guilin"");
        if(x<90&&y<90&&z>=90);
        printf(""guilin"");}
    if(avg>=85&&avg<90){
        printf(""shanghai"");}
        else {printf(""nanjing"");}}
        return 0;
}",“( )”或“{ }”不匹配-,无,E9
p362,"#include<stido.h>
int main（void)
{
    printf(""Hello,World"");
    return 0;
}",库文件引用失败-,无,E10
p561,"#include<stdio.h>
int main(){
    int n;
    int idx;
    int a[50];
    scan(""%d"",&n);
    for(int i=0;i<n;i++){
        scanf(""%d"",&a[i]);
    }
    int x;
    scanf(""%d"",&x);
    for(int i=0;i<n;i++){
        if(i!=x){
            printf(""%d"",a[i]);
        }
    }
    printf(""%d"",a[x]);
    return 0;
}",拼写错误-,参考,E11
p1094,"#include<stdio.h>
int main(){
    int n;
    scanf(""%d"",&n);
    for(int i=2;i<=sqrt(n);i++){
        if(n%i==0){
            printf(""F"");
            break;
        }
            printf(""T"");
        }
    return 0;
}",未加入依赖的头文件-,无,E12
